TICKER,weight_arima,weight_gru,weight_lstm,weight_prophet
BA,0.0979768718259858,0.3893982179067375,0.4166054841497911,0.09601942611748565
ADP,0.13542886516436528,0.388806407373915,0.2977320613171042,0.1780326661446156
CAT,0.153955979409047,0.37641449328648136,0.37321375395001727,0.09641577335445427
RTX,0.14174493365982502,0.25656767888325166,0.4380086026646747,0.16367878479224873
HON,0.118222184301674,0.42053776236826057,0.34088746565524397,0.12035258767482139
LMT,0.11550138848305255,0.34694799822329614,0.3647622546696994,0.17278835862395192
GE,0.027213773069991707,0.45807525460853227,0.41440803592851455,0.1003029363929614
UNP,0.19683875567053052,0.33303901737307473,0.37378007764805526,0.09634214930833951
DE,0.14859490984739632,0.3934943951636962,0.34679741610220427,0.11111327888670317
UPS,0.1710461806750936,0.24579656098080782,0.42741823858152644,0.155739019762572
